uuid,adm4_pcode,date,freq,google_bldgs_count,google_bldgs_area_total,google_bldgs_area_mean,google_bldgs_count_lt100_sqm,google_bldgs_count_100_200_sqm,google_bldgs_count_gt_200_sqm,google_bldgs_density,google_bldgs_pct_built_up_area
GOBLG000012,PH063022084,2023-01-01,Y,788.0,92264.6017,117.08705799492384,485.0,200.0,103.0,0.0041280479264618,48.33409869714689
GOBLG000013,PH063022081,2023-01-01,Y,139.0,32514.6281,233.9181877697842,68.0,30.0,41.0,0.0032007207546355,74.8706798481473
GOBLG000014,PH063022178,2023-01-01,Y,1227.0,158916.0642,129.51594474327626,841.0,231.0,155.0,0.0022525804555945,29.174508581657427
GOBLG000015,PH063022189,2023-01-01,Y,517.0,62359.4947,120.61797814313348,311.0,111.0,95.0,0.0043898237879939,52.949166971245695
GOBLG000016,PH063022064,2023-01-01,Y,2521.0,191890.3841,76.11677274890916,1806.0,614.0,101.0,0.0028323545505363,21.55896876675106
GOBLG000017,PH063022033,2023-01-01,Y,812.0,78063.4995,96.13731465517242,563.0,172.0,77.0,0.0014519849879199,13.958993765824976
GOBLG000018,PH063022080,2023-01-01,Y,340.0,18821.3267,55.35684323529412,306.0,20.0,14.0,0.0070160297155802,38.83852570995424
GOBLG000019,PH063022097,2023-01-01,Y,133.0,18363.7791,138.07352706766918,81.0,29.0,23.0,0.003428833715597,47.3431164841025
GOBLG00001A,PH063022154,2023-01-01,Y,213.0,31239.6571,146.66505680751175,86.0,67.0,60.0,0.0055972199332316,82.09165794715601
GOBLG00001B,PH063022041,2023-01-01,Y,2367.0,222331.9636,93.92985365441488,1642.0,424.0,301.0,0.0022500117002189,21.134326972228244
GOBLG00001C,PH063022186,2023-01-01,Y,287.0,14995.8034,52.25018606271777,256.0,27.0,4.0,0.0064332848943671,33.6140332725155
GOBLG00001D,PH063022161,2023-01-01,Y,445.0,31951.5938,71.80133438202247,342.0,85.0,18.0,0.008152000917109,58.53245437318979
GOBLG00001E,PH063022023,2023-01-01,Y,933.0,67748.4322,72.61353933547696,722.0,160.0,51.0,0.0024996233487099,18.150649835542502
GOBLG00001F,PH063022060,2023-01-01,Y,1384.0,111735.2837,80.7335864884393,1087.0,188.0,109.0,0.0017498684634059,14.127315693377447
GOBLG000020,PH063022159,2023-01-01,Y,455.0,38023.0707,83.56718835164834,322.0,109.0,24.0,0.0073782846836646,61.65825058718878
GOBLG000021,PH063022181,2023-01-01,Y,201.0,16734.2426,83.25493830845772,161.0,22.0,18.0,0.0033401784090941,27.808634738837632
GOBLG000022,PH063022011,2023-01-01,Y,2309.0,178212.6716,77.1817546990039,1792.0,344.0,173.0,0.0011803947603456,9.110493884098632
GOBLG000023,PH063022043,2023-01-01,Y,426.0,27466.44,64.47521126760563,352.0,61.0,13.0,0.008122826671905,52.37209657612184
GOBLG000024,PH063022177,2023-01-01,Y,2917.0,231925.2506,79.50814213232773,2537.0,257.0,123.0,0.0007980110598288,6.344837676804352
GOBLG000025,PH063022115,2023-01-01,Y,1469.0,87737.8579,59.7262477195371,1192.0,231.0,46.0,0.001181100814971,7.054271985671007
GOBLG000026,PH063022071,2023-01-01,Y,580.0,44079.662,75.9994172413793,463.0,87.0,30.0,0.0064585126291829,49.08431960639962
GOBLG000027,PH063022188,2023-01-01,Y,1163.0,95135.4886,81.8017958727429,923.0,163.0,77.0,0.0049862935110125,40.7887763949435
GOBLG000028,PH063022045,2023-01-01,Y,152.0,17586.1047,115.6980572368421,112.0,18.0,22.0,0.0055996309544078,64.78664226682778
GOBLG000029,PH063022168,2023-01-01,Y,3058.0,207861.3759,67.97298100065403,2549.0,392.0,117.0,0.0031140253583092,21.16695865159106
GOBLG00002A,PH063022069,2023-01-01,Y,240.0,33924.8883,141.35370125,135.0,57.0,48.0,0.0044787864164056,63.30930370671624
GOBLG00002B,PH063022169,2023-01-01,Y,569.0,67347.6986,118.36150896309316,389.0,94.0,86.0,0.0049586843956971,58.69173675464552
GOBLG00009B,PH063022124,2023-01-01,Y,1058.0,107867.8356,101.95447599243856,651.0,311.0,96.0,0.0045330335482465,46.21630600676209
GOBLG00009C,PH063022091,2023-01-01,Y,184.0,26221.7757,142.50965054347824,97.0,52.0,35.0,0.0040098002746493,57.14352358894183
GOBLG00009D,PH063022139,2023-01-01,Y,435.0,54919.0575,126.25070689655172,287.0,91.0,57.0,0.0065376622726585,82.53844833740614
GOBLG00009E,PH063022117,2023-01-01,Y,1377.0,132190.2215,95.99870842411038,918.0,317.0,142.0,0.0019676144961245,18.888845030451083
GOBLG00009F,PH063022121,2023-01-01,Y,1856.0,139779.0988,75.31201443965517,1389.0,408.0,59.0,0.0059068564358676,44.48572571910354
GOBLG0000A0,PH063022062,2023-01-01,Y,58.0,9643.1179,166.26065344827586,30.0,10.0,18.0,0.0024600684270767,40.9012584213252
GOBLG0000A1,PH063022170,2023-01-01,Y,511.0,30982.4872,60.631090410958905,440.0,59.0,12.0,0.0084999618455528,51.53619551474149
GOBLG0000A2,PH063022093,2023-01-01,Y,285.0,26934.7049,94.50773649122809,182.0,73.0,30.0,0.0059257547024406,56.00296639299201
GOBLG0000A3,PH063022157,2023-01-01,Y,501.0,74235.3124,148.174276247505,268.0,146.0,87.0,0.003408124477068,50.49963777509694
GOBLG0000A4,PH063022073,2023-01-01,Y,502.0,51085.9827,101.76490577689243,380.0,82.0,40.0,0.0038688984062805,39.37180817755047
GOBLG0000A5,PH063022106,2023-01-01,Y,1346.0,118404.2841,87.96752161961368,928.0,294.0,124.0,0.004506919247454,39.64625163382669
GOBLG0000A6,PH063022171,2023-01-01,Y,2980.0,130912.1472,43.93025073825503,2841.0,109.0,30.0,0.0013199699055019,5.79866089156509
GOBLG0000A7,PH063022094,2023-01-01,Y,1331.0,216031.0789,162.30734703230652,958.0,241.0,132.0,0.000947652840508,15.38110184504974
GOBLG0000A8,PH063022021,2023-01-01,Y,1740.0,130623.5597,75.07101132183908,1418.0,266.0,56.0,0.0049110247039475,36.86755911518808
GOBLG0000A9,PH063022005,2023-01-01,Y,724.0,41826.9695,57.77205732044199,642.0,73.0,9.0,0.0099199896273362,57.309820936865854
GOBLG0000AA,PH063022156,2023-01-01,Y,3041.0,136065.2592,44.74359066096679,2835.0,189.0,17.0,0.0095406920242802,42.688481855674695
GOBLG0000AB,PH063022201,2023-01-01,Y,1825.0,189253.9557,103.7007976438356,1225.0,304.0,296.0,0.0019386616378476,20.10407582063072
GOBLG0000AC,PH063022022,2023-01-01,Y,509.0,31231.6416,61.35882436149312,447.0,50.0,12.0,0.0118790942969671,72.88872605412202
GOBLG0000AD,PH063022025,2023-01-01,Y,704.0,115824.2327,164.5230578125,468.0,130.0,106.0,0.0021280282768316,35.01097192158051
GOBLG0000AE,PH063022001,2023-01-01,Y,1364.0,90768.1609,66.54557250733139,1080.0,237.0,47.0,0.0024182288495825,16.09224232492184
GOBLG0000AF,PH063022126,2023-01-01,Y,384.0,18652.1227,48.57323619791666,358.0,25.0,1.0,0.0137003323172516,66.54694776358173
GOBLG0000B0,PH063022137,2023-01-01,Y,402.0,25337.2869,63.02807686567164,340.0,49.0,13.0,0.0114272389126412,72.02368925483444
GOBLG000125,PH063022118,2023-01-01,Y,1130.0,54998.249,48.671016814159294,1035.0,77.0,18.0,0.0089662514638392,43.63965757565006
GOBLG000126,PH063022015,2023-01-01,Y,382.0,54155.8714,141.76929685863874,201.0,103.0,78.0,0.0030254110237547,42.891039354607855
GOBLG000127,PH063022152,2023-01-01,Y,944.0,59687.2324,63.228000423728815,782.0,133.0,29.0,0.0010712547340981,6.773329478147631
GOBLG000128,PH063022040,2023-01-01,Y,922.0,98875.7887,107.24055173535793,628.0,198.0,96.0,0.0034669552858898,37.17981977006392
GOBLG000129,PH063022020,2023-01-01,Y,277.0,24020.8011,86.71769350180506,231.0,29.0,17.0,0.0044166872659797,38.30049326245592
GOBLG00012A,PH063022109,2023-01-01,Y,516.0,35911.0161,69.59499244186047,428.0,61.0,27.0,0.0034212927522078,23.81048432312973
GOBLG00012B,PH063022110,2023-01-01,Y,2114.0,112004.1392,52.98209044465469,1904.0,195.0,15.0,0.0086952047853327,46.06901263712926
GOBLG00012C,PH063022149,2023-01-01,Y,996.0,77061.0368,77.37051887550201,797.0,121.0,78.0,0.0045656393404613,35.324588476990165
GOBLG00012D,PH063022052,2023-01-01,Y,593.0,38137.1775,64.3122723440135,508.0,69.0,16.0,0.0063598380521994,40.90156368768688
GOBLG00012E,PH063022138,2023-01-01,Y,165.0,18355.6612,111.24643151515151,120.0,26.0,19.0,0.0056712907536694,63.09108584306035
GOBLG00012F,PH063022176,2023-01-01,Y,918.0,71808.3054,78.22255490196078,704.0,148.0,66.0,0.0026458140834862,20.69623374058809
GOBLG000130,PH063022179,2023-01-01,Y,2165.0,172043.2378,79.46569875288684,1645.0,409.0,111.0,0.0015752756833655,12.518038290707134
GOBLG000131,PH063022054,2023-01-01,Y,169.0,73261.1057,433.49766686390535,51.0,22.0,96.0,0.0016335530439559,70.8141433253341
GOBLG000132,PH063022092,2023-01-01,Y,179.0,23444.5688,130.97524469273745,135.0,33.0,11.0,0.0046641552423635,61.08888741534761
GOBLG000133,PH063022132,2023-01-01,Y,422.0,75010.03,177.74888625592416,307.0,74.0,41.0,0.0015376542296522,27.331632676739563
GOBLG000134,PH063022085,2023-01-01,Y,149.0,39278.3543,263.6131161073825,89.0,35.0,25.0,0.002769445472379,73.00621508633138
GOBLG000135,PH063022160,2023-01-01,Y,1538.0,279464.4787,181.70642308192456,1062.0,200.0,276.0,0.0009641777848767,17.51972965050085
GOBLG000136,PH063022134,2023-01-01,Y,867.0,77989.2237,89.95296851211073,591.0,222.0,54.0,0.0053209211576304,47.86326533477544
GOBLG000137,PH063022035,2023-01-01,Y,372.0,31250.3501,84.00631747311827,278.0,65.0,29.0,0.0063182379878395,53.07719062771676
GOBLG000138,PH063022029,2023-01-01,Y,1215.0,79511.86779999999,65.44186650205761,1019.0,167.0,29.0,0.0049982579218594,32.70953276651811
GOBLG000139,PH063022194,2023-01-01,Y,1705.0,117362.2101,68.83414082111437,1346.0,310.0,49.0,0.0033484856639138,23.04901337273256
GOBLG00013A,PH063022144,2023-01-01,Y,2335.0,163735.6273,70.1223243254818,1916.0,303.0,116.0,0.0018421667684928,12.917701560188195
GOBLG00013B,PH063022095,2023-01-01,Y,719.0,61684.5522,85.79214492350486,564.0,105.0,50.0,0.0063210250481201,54.22942969934306
GOBLG00013C,PH063022164,2023-01-01,Y,1139.0,90590.9256,79.53549218612818,837.0,236.0,66.0,0.0032565811536766,25.901378490174253
GOBLG00013D,PH063022158,2023-01-01,Y,1016.0,70228.9992,69.12303070866142,833.0,117.0,66.0,0.0040571383428597,28.04416982627835
GOBLG00013E,PH063022197,2023-01-01,Y,113.0,11668.5373,103.26139203539825,81.0,16.0,16.0,0.0037796343769771,39.02903071515074
GOBLG00013F,PH063022114,2023-01-01,Y,1111.0,101231.2887,91.11727155715572,784.0,217.0,110.0,0.0013955007085394,12.715421701819617
GOBLG000140,PH063022183,2023-01-01,Y,1381.0,130201.7431,94.2807698044895,1138.0,141.0,102.0,0.0011756028492112,11.083674160798909
GOBLG000141,PH063022099,2023-01-01,Y,978.0,114714.9678,117.2954680981595,558.0,282.0,138.0,0.004089256584401,47.96512652408013
GOBLG000142,PH063022077,2023-01-01,Y,1186.0,88826.4927,74.89586231028667,906.0,239.0,41.0,0.0066904887497075,50.10899241866216
GOBLG000143,PH063022123,2023-01-01,Y,56.0,17667.0501,315.4830375,29.0,10.0,17.0,0.0017845567082257,56.29973709020728
GOBLG000144,PH063022150,2023-01-01,Y,404.0,48835.5931,120.88018094059406,287.0,62.0,55.0,0.0041407207022652,50.05310677142858
GOBLG000145,PH063022122,2023-01-01,Y,426.0,55112.8243,129.37282699530516,302.0,44.0,80.0,0.0044202490107643,57.18601105457811
GOBLG000146,PH063022038,2023-01-01,Y,757.0,78209.0799,103.31450449141347,601.0,96.0,60.0,0.0034286997000533,35.42344105608703
GOBLG000147,PH063022196,2023-01-01,Y,1202.0,85019.2717,70.73150723793677,929.0,227.0,46.0,0.0034047561484748,24.08235341592557
GOBLG000148,PH063022167,2023-01-01,Y,1146.0,50979.1031,44.48438315881327,1072.0,56.0,18.0,0.0058229466303257,25.90301890167301
GOBLG000149,PH063022182,2023-01-01,Y,374.0,30705.4409,82.10010935828878,295.0,57.0,22.0,0.0064820143426366,53.21740863924693
GOBLG0001D1,PH063022034,2023-01-01,Y,102.0,9955.8363,97.60623823529411,71.0,19.0,12.0,0.0063210358885195,61.69725348286792
GOBLG0001D2,PH063022074,2023-01-01,Y,289.0,35987.8697,124.52550069204152,179.0,70.0,40.0,0.0048011965717175,59.78714070140399
GOBLG0001D3,PH063022014,2023-01-01,Y,802.0,61209.2982,76.32082069825437,623.0,165.0,14.0,0.0098822455291993,75.42210891301508
GOBLG0001D4,PH063022030,2023-01-01,Y,2518.0,167606.4166,66.56331080222398,2186.0,266.0,66.0,0.001527058632766,10.164607838602292
GOBLG0001D5,PH063022024,2023-01-01,Y,2063.0,164759.5952,79.86407910809501,1528.0,417.0,118.0,0.0014721756850709,11.757395537352243
GOBLG0001D6,PH063022199,2023-01-01,Y,1229.0,74531.6499,60.64414149715216,1054.0,144.0,31.0,0.0028797385486707,17.463927202039503
GOBLG0001D7,PH063022175,2023-01-01,Y,4306.0,310373.5847,72.07932761263353,3423.0,670.0,213.0,0.003322909631237,23.95130919371097
GOBLG0001D8,PH063022119,2023-01-01,Y,505.0,42990.2215,85.12915148514851,390.0,58.0,57.0,0.003728357598393,31.739191878440565
GOBLG0001D9,PH063022112,2023-01-01,Y,476.0,70404.7806,147.90920294117646,302.0,111.0,63.0,0.0037823055173794,55.94377943556018
GOBLG0001DA,PH063022048,2023-01-01,Y,1766.0,126917.7641,71.86736359003397,1354.0,312.0,100.0,0.0025729154655693,18.490865125049087
GOBLG0001DB,PH063022018,2023-01-01,Y,839.0,71529.2227,85.25533098927295,639.0,133.0,67.0,0.0048566372434349,41.40542156838808
GOBLG0001DC,PH063022068,2023-01-01,Y,518.0,109647.4215,211.6745588803089,461.0,24.0,33.0,0.0002619287833546,5.544365967465792
GOBLG0001DD,PH063022108,2023-01-01,Y,362.0,34665.4568,95.76093038674033,238.0,94.0,30.0,0.0065100522507744,62.340866040045306
GOBLG0001DE,PH063022125,2023-01-01,Y,280.0,14766.6144,52.73790857142857,263.0,15.0,2.0,0.0139438123695797,73.53675018840498
GOBLG0001DF,PH063022174,2023-01-01,Y,751.0,130622.4877,173.9314083888149,481.0,122.0,148.0,0.0022850456097081,39.74412011292252
GOBLG0001E0,PH063022105,2023-01-01,Y,935.0,53492.1079,57.2108105882353,808.0,117.0,10.0,0.0058479620067721,33.45666466966396
GOBLG0001E1,PH063022098,2023-01-01,Y,2031.0,187922.7218,92.52718946331856,1319.0,461.0,251.0,0.0024566676986655,22.73085576028421
GOBLG0001E2,PH063022053,2023-01-01,Y,324.0,50213.0047,154.97840956790122,225.0,64.0,35.0,0.0050033732135105,77.54148231045058
GOBLG0001E3,PH063022010,2023-01-01,Y,4759.0,383515.9257,80.58750277369195,3746.0,823.0,190.0,0.0019551133635305,15.755770360639824
GOBLG0001E4,PH063022116,2023-01-01,Y,252.0,60553.5127,240.2917170634921,110.0,69.0,73.0,0.0032660070673666,78.47944461590228
GOBLG0001E5,PH063022079,2023-01-01,Y,650.0,34874.9489,53.65376753846154,576.0,58.0,16.0,0.0083487640071704,44.79426432742005
GOBLG0001E6,PH063022055,2023-01-01,Y,517.0,41164.035,79.6209574468085,402.0,89.0,26.0,0.0091952726615061,73.21364132935811
GOBLG0001E7,PH063022042,2023-01-01,Y,369.0,113774.6365,308.3323482384824,137.0,76.0,156.0,0.0018528534888794,57.129466716807705
GOBLG0001E8,PH063022127,2023-01-01,Y,925.0,59570.8392,64.40090724324324,727.0,171.0,27.0,0.0067450331340554,43.43862532189098
GOBLG0001E9,PH063022187,2023-01-01,Y,1091.0,71263.0825,65.3190490375802,977.0,72.0,42.0,0.00146920311001,9.596694998891474
GOBLG0001EA,PH063022063,2023-01-01,Y,726.0,60558.6559,83.41412658402204,563.0,115.0,48.0,0.0063117756857462,52.64912560207926
GOBLG0001EB,PH063022148,2023-01-01,Y,329.0,74762.4079,227.2413613981763,145.0,73.0,111.0,0.0017382180315272,39.49950318911156
GOBLG0001EC,PH063022155,2023-01-01,Y,961.0,81515.6215,84.82374765868886,700.0,177.0,84.0,0.0015501431269797,13.148894943777762
GOBLG0001ED,PH063022165,2023-01-01,Y,475.0,33283.3194,70.07014610526316,394.0,53.0,28.0,0.0012442109393913,8.718204230892107
GOBLG0001EE,PH063022032,2023-01-01,Y,4453.0,231619.9456,52.01436011677521,4004.0,350.0,99.0,0.0050470481971773,26.251898245470485
GOBLG0001EF,PH063022012,2023-01-01,Y,1651.0,126350.0357,76.52939775893398,1309.0,258.0,84.0,0.0051125886951252,39.12633338270669
GOBLG0001F0,PH063022131,2023-01-01,Y,170.0,51612.1346,303.6007917647059,72.0,29.0,69.0,0.000860016593765,26.110171879784144
GOBLG0001F1,PH063022102,2023-01-01,Y,294.0,52185.9544,177.5032462585034,147.0,55.0,92.0,0.0040609360821078,72.08293374224402
GOBLG0001F2,PH063022172,2023-01-01,Y,503.0,28566.4971,56.7922407554672,438.0,54.0,11.0,0.00519487672559,29.50286896946828
GOBLG000261,PH063022008,2023-01-01,Y,381.0,49010.2522,128.63583254593178,245.0,69.0,67.0,0.0039009332970743,50.1799802375302
GOBLG000262,PH063022078,2023-01-01,Y,184.0,10962.888,59.58091304347827,163.0,17.0,4.0,0.0053243315404532,31.72285345263933
GOBLG000263,PH063022193,2023-01-01,Y,76.0,15986.0728,210.3430631578948,33.0,15.0,28.0,0.0020326893218101,42.75620983978865
GOBLG000264,PH063022006,2023-01-01,Y,450.0,50377.3761,111.94972466666668,274.0,117.0,59.0,0.0036728905288624,41.11790834369577
GOBLG000265,PH063022016,2023-01-01,Y,906.0,72834.7786,80.39158785871965,677.0,171.0,58.0,0.0016101625179344,12.9443521527346
GOBLG000266,PH063022026,2023-01-01,Y,1958.0,123041.5865,62.84044254341165,1687.0,213.0,58.0,0.0012936989468262,8.129661433650668
GOBLG000267,PH063022028,2023-01-01,Y,170.0,23615.6351,138.9155005882353,101.0,35.0,34.0,0.0034702941665145,48.20776513298054
GOBLG000268,PH063022140,2023-01-01,Y,58.0,22236.5759,383.3892396551724,12.0,17.0,29.0,0.0015146411938125,58.06971356461904
GOBLG000269,PH063022113,2023-01-01,Y,179.0,26736.4695,149.36575139664805,125.0,23.0,31.0,0.002046774116458,30.57179538439689
GOBLG00026A,PH063022191,2023-01-01,Y,382.0,23721.5376,62.09826596858639,326.0,51.0,5.0,0.0057214247054388,35.52905530775826
GOBLG00026B,PH063022047,2023-01-01,Y,1526.0,98919.6999,64.82287018348624,1241.0,244.0,41.0,0.0060314533645206,39.09761184660751
GOBLG00026C,PH063022136,2023-01-01,Y,148.0,9462.5923,63.93643445945946,131.0,9.0,8.0,0.0104862882657228,67.04558824243882
GOBLG00026D,PH063022096,2023-01-01,Y,1128.0,102499.2765,90.86815292553192,750.0,283.0,95.0,0.0049289689927931,44.788630820232974
GOBLG00026E,PH063022089,2023-01-01,Y,157.0,34245.149900000004,218.1219738853504,121.0,15.0,21.0,0.0013417808852907,29.267189522124863
GOBLG00026F,PH063022100,2023-01-01,Y,313.0,31773.3124,101.51218019169328,227.0,49.0,37.0,0.0070750524421241,71.82039983705877
GOBLG000270,PH063022090,2023-01-01,Y,175.0,36028.9142,205.8795097142857,76.0,38.0,61.0,0.0035718366406023,73.53679763467365
GOBLG000271,PH063022003,2023-01-01,Y,470.0,37074.0798,78.88102085106382,391.0,57.0,22.0,0.0072006737884184,56.79964992459444
GOBLG000272,PH063022195,2023-01-01,Y,672.0,74461.8337,110.80630014880953,488.0,109.0,75.0,0.0043600373163471,48.3119603535171
GOBLG000273,PH063022104,2023-01-01,Y,310.0,20039.9607,64.64503451612903,253.0,49.0,8.0,0.0126135240952044,81.54017005045166
GOBLG000274,PH063022051,2023-01-01,Y,1268.0,99425.9107,78.41160149842271,991.0,208.0,69.0,0.002382612030109,18.682442503025847
GOBLG000275,PH063022065,2023-01-01,Y,730.0,56191.6437,76.97485438356165,591.0,82.0,57.0,0.0055832849794141,42.97725482723308
GOBLG000276,PH063022128,2023-01-01,Y,869.0,66365.8206,76.3703344073648,636.0,177.0,56.0,0.0043523741389064,33.23922684542495
GOBLG000277,PH063022076,2023-01-01,Y,221.0,28068.9524,127.00883438914026,104.0,67.0,50.0,0.0075125863583189,95.41648366178477
GOBLG000278,PH063022056,2023-01-01,Y,361.0,36261.8788,100.44841772853184,233.0,84.0,44.0,0.0063718179393583,64.00390300628167
GOBLG000279,PH063022019,2023-01-01,Y,2191.0,152864.283,69.76918439068918,1785.0,297.0,109.0,0.0013630224008246,9.509696121177637
GOBLG00027A,PH063022129,2023-01-01,Y,342.0,35642.409400000004,104.21757134502926,276.0,47.0,19.0,0.0051723436068991,53.904908887301296
GOBLG00027B,PH063022173,2023-01-01,Y,655.0,38364.0792,58.571113282442745,579.0,49.0,27.0,0.002453115742193,14.368172003093212
GOBLG00027C,PH063022087,2023-01-01,Y,1056.0,85709.4168,81.16422045454546,926.0,79.0,51.0,0.0030580243000588,24.82021584453312
GOBLG00027D,PH063022101,2023-01-01,Y,537.0,73775.2867,137.38414655493483,334.0,147.0,56.0,0.005131543866696,70.4992774635248
GOBLG00027E,PH063022086,2023-01-01,Y,2278.0,102747.6636,45.10432993854258,2125.0,110.0,43.0,0.000928231152434,4.186724415861949
GOBLG00027F,PH063022050,2023-01-01,Y,474.0,57698.6774,121.72716751054853,317.0,100.0,57.0,0.0022423103569873,27.29500884356317
GOBLG0002EE,PH063022200,2023-01-01,Y,80.0,14724.5469,184.05683625,41.0,18.0,21.0,0.0026269816058198,48.35139232541403
GOBLG0002EF,PH063022135,2023-01-01,Y,2464.0,217889.7886,88.42929732142858,1845.0,434.0,185.0,0.0030156905775501,26.66753987116128
GOBLG0002F0,PH063022017,2023-01-01,Y,636.0,69791.9922,109.73583679245282,516.0,75.0,45.0,0.0024978173928363,27.41000817576395
GOBLG0002F1,PH063022120,2023-01-01,Y,2209.0,149055.7066,67.47655346310547,1813.0,300.0,96.0,0.0043644540936763,29.44983199892193
GOBLG0002F2,PH063022007,2023-01-01,Y,78.0,27910.4192,357.8258871794872,21.0,8.0,49.0,0.0010082692402618,36.07848354124841
GOBLG0002F3,PH063022192,2023-01-01,Y,686.0,53916.4209,78.59536574344023,584.0,62.0,40.0,0.0065135589824194,51.193555051472416
GOBLG0002F4,PH063022049,2023-01-01,Y,1753.0,124354.7747,70.93826280661722,1321.0,371.0,61.0,0.0018392922817456,13.047619926065863
GOBLG0002F5,PH063022031,2023-01-01,Y,2397.0,98752.4625,41.19835732165206,2288.0,85.0,24.0,0.0073578285530943,30.31304498418368
GOBLG0002F6,PH063022107,2023-01-01,Y,282.0,49773.6792,176.5024085106383,185.0,34.0,63.0,0.004722246361353,83.34878563594167
GOBLG0002F7,PH063022044,2023-01-01,Y,425.0,38371.4145,90.2856811764706,326.0,54.0,45.0,0.0058793595228236,53.0821979399504
GOBLG0002F8,PH063022067,2023-01-01,Y,2309.0,183261.318,79.36826245127762,1674.0,526.0,109.0,0.0010673272685615,8.471191077260217
GOBLG0002F9,PH063022072,2023-01-01,Y,1721.0,219457.9591,127.51769848925044,1484.0,116.0,121.0,0.0006068454369471,7.73835334581995
GOBLG0002FA,PH063022070,2023-01-01,Y,176.0,31520.9197,179.0961346590909,94.0,42.0,40.0,0.0011985132161926,21.464908435794257
GOBLG0002FB,PH063022198,2023-01-01,Y,289.0,52259.3672,180.8282602076125,179.0,69.0,41.0,0.0026302769764605,47.56284095174954
GOBLG0002FC,PH063022133,2023-01-01,Y,359.0,38983.9486,108.5903860724234,305.0,40.0,14.0,0.006885847789222,74.77368698675646
GOBLG0002FD,PH063022103,2023-01-01,Y,562.0,95420.2588,169.78693736654805,375.0,90.0,97.0,0.0018744103207734,31.8250387732378
GOBLG0002FE,PH063022004,2023-01-01,Y,1686.0,122747.9791,72.80425806642941,1366.0,224.0,96.0,0.0016642088813095,12.116149287130265
GOBLG0002FF,PH063022036,2023-01-01,Y,1120.0,66455.109,59.33491875,935.0,158.0,27.0,0.0050231777017978,29.80498408029857
GOBLG000300,PH063022163,2023-01-01,Y,420.0,55024.0426,131.00962523809525,280.0,86.0,54.0,0.0032534749793396,42.62365377648084
GOBLG000301,PH063022009,2023-01-01,Y,1697.0,101337.8488,59.715880259281086,1467.0,209.0,21.0,0.0069008396136358,41.20897120563836
GOBLG000302,PH063022166,2023-01-01,Y,1043.0,81834.2805,78.4604798657718,788.0,188.0,67.0,0.0025545087097012,20.04279791844532
GOBLG000303,PH063022151,2023-01-01,Y,3380.0,238422.3837,70.53916677514793,2796.0,384.0,200.0,0.0022396552982741,15.798341860380171
GOBLG000304,PH063022046,2023-01-01,Y,453.0,50214.7973,110.8494421633554,292.0,98.0,63.0,0.0050514881382162,55.995464221608174
GOBLG000305,PH063022061,2023-01-01,Y,572.0,45823.4469,80.11092115384616,470.0,55.0,47.0,0.0062889179855146,50.38110128805716
GOBLG000306,PH063022146,2023-01-01,Y,294.0,71609.6523,243.57024591836736,94.0,77.0,123.0,0.0021780276477615,53.05027297822884
GOBLG000307,PH063022185,2023-01-01,Y,207.0,10046.8672,48.535590338164255,189.0,18.0,0.0,0.0114075512891195,55.3672236130305
GOBLG000308,PH063022202,2023-01-01,Y,517.0,36698.1346,70.98285222437137,420.0,68.0,29.0,0.0066382488191706,47.1201834959801
GOBLG000309,PH063022088,2023-01-01,Y,420.0,60687.5137,144.49408023809522,318.0,62.0,40.0,0.0034036310161768,49.18045331523291
GOBLG00030A,PH063022057,2023-01-01,Y,64.0,23125.1488,361.33045,39.0,3.0,22.0,0.0016703279881469,60.3540363604728
GOBLG00030B,PH063022075,2023-01-01,Y,95.0,10360.6269,109.0592305263158,62.0,18.0,15.0,0.0040417048110253,44.07852167049374
