uuid,adm4_pcode,date,freq,brgy_healthcenter_pop_reached_5min,brgy_healthcenter_pop_reached_15min,brgy_healthcenter_pop_reached_30min,brgy_healthcenter_pop_reached_pct_5min,brgy_healthcenter_pop_reached_pct_15min,brgy_healthcenter_pop_reached_pct_30min,hospital_pop_reached_5min,hospital_pop_reached_15min,hospital_pop_reached_30min,hospital_pop_reached_pct_5min,hospital_pop_reached_pct_15min,hospital_pop_reached_pct_30min,rhu_pop_reached_5min,rhu_pop_reached_15min,rhu_pop_reached_30min,rhu_pop_reached_pct_5min,rhu_pop_reached_pct_15min,rhu_pop_reached_pct_30min
MBISO000078,PH063022001,2022-01-01,S,2046.38,2046.38,2046.38,100.0,100.0,100.0,0.0,2045.32,2046.38,0.0,99.95,100.0,1604.52,2046.38,2046.38,78.41,100.0,100.0
MBISO000079,PH063022003,2022-01-01,S,731.32,731.32,731.32,54.64,54.64,54.64,0.0,731.32,731.32,0.0,54.64,54.64,731.32,731.32,731.32,54.64,54.64,54.64
MBISO00007A,PH063022004,2022-01-01,S,3935.71,4557.03,4557.03,84.84,98.23,98.23,3612.69,4557.03,4557.03,77.88,98.23,98.23,3395.88,4557.03,4557.03,73.2,98.23,98.23
MBISO00007B,PH063022005,2022-01-01,S,2843.21,2843.21,2843.21,99.22,99.22,99.22,0.0,2843.21,2843.21,0.0,99.22,99.22,2843.21,2843.21,2843.21,99.22,99.22,99.22
MBISO00007C,PH063022006,2022-01-01,S,1011.12,1011.12,1011.12,82.85,82.85,82.85,134.32,1011.12,1011.12,11.01,82.85,82.85,876.8,1011.12,1011.12,71.84,82.85,82.85
MBISO00007D,PH063022007,2022-01-01,S,578.94,578.94,578.94,91.92,91.92,91.92,504.24,578.94,578.94,80.06,91.92,91.92,578.94,578.94,578.94,91.92,91.92,91.92
MBISO00007E,PH063022008,2022-01-01,S,870.81,870.81,870.81,100.0,100.0,100.0,870.81,870.81,870.81,100.0,100.0,100.0,870.81,870.81,870.81,100.0,100.0,100.0
MBISO00007F,PH063022009,2022-01-01,S,4678.61,4678.61,4678.61,97.99,97.99,97.99,1778.94,4678.61,4678.61,37.26,97.99,97.99,3581.75,4678.61,4678.61,75.02,97.99,97.99
MBISO000080,PH063022010,2022-01-01,S,8785.38,8815.86,8815.86,99.65,100.0,100.0,0.0,8815.86,8815.86,0.0,100.0,100.0,0.0,8809.56,8815.86,0.0,99.93,100.0
MBISO000081,PH063022011,2022-01-01,S,3683.62,4009.81,4009.81,91.87,100.0,100.0,3153.77,4009.81,4009.81,78.65,100.0,100.0,0.0,447.81,4009.81,0.0,11.17,100.0
MBISO000082,PH063022012,2022-01-01,S,4177.64,4177.64,4177.64,99.81,99.81,99.81,0.0,4177.64,4177.64,0.0,99.81,99.81,2007.65,4177.64,4177.64,47.97,99.81,99.81
MBISO000083,PH063022014,2022-01-01,S,1542.15,1542.15,1542.15,65.53,65.53,65.53,0.0,1542.15,1542.15,0.0,65.53,65.53,1542.15,1542.15,1542.15,65.53,65.53,65.53
MBISO000084,PH063022015,2022-01-01,S,752.61,752.61,752.61,95.84,95.84,95.84,752.61,752.61,752.61,95.84,95.84,95.84,752.61,752.61,752.61,95.84,95.84,95.84
MBISO000085,PH063022016,2022-01-01,S,755.05,939.14,939.14,77.08,95.88,95.88,0.0,939.14,939.14,0.0,95.88,95.88,0.0,939.14,939.14,0.0,95.88,95.88
MBISO000086,PH063022017,2022-01-01,S,4302.79,4328.93,4328.93,99.4,100.0,100.0,4302.79,4328.93,4328.93,99.4,100.0,100.0,3662.68,4328.93,4328.93,84.61,100.0,100.0
MBISO000087,PH063022018,2022-01-01,S,3495.93,3495.93,3495.93,90.26,90.26,90.26,3103.21,3495.93,3495.93,80.12,90.26,90.26,0.0,3495.93,3495.93,0.0,90.26,90.26
MBISO000088,PH063022019,2022-01-01,S,5931.47,5931.47,5931.47,100.0,100.0,100.0,5463.96,5931.47,5931.47,92.12,100.0,100.0,0.0,3405.33,5931.47,0.0,57.41,100.0
MBISO000089,PH063022020,2022-01-01,S,1543.14,1543.14,1543.14,72.85,72.85,72.85,0.0,1543.14,1543.14,0.0,72.85,72.85,1543.14,1543.14,1543.14,72.85,72.85,72.85
MBISO00008A,PH063022021,2022-01-01,S,3788.68,3788.68,3788.68,84.9,84.9,84.9,3788.68,3788.68,3788.68,84.9,84.9,84.9,352.83,3788.68,3788.68,7.91,84.9,84.9
MBISO00008B,PH063022022,2022-01-01,S,2469.71,2469.71,2469.71,100.0,100.0,100.0,2469.71,2469.71,2469.71,100.0,100.0,100.0,0.0,2469.71,2469.71,0.0,100.0,100.0
MBISO00008C,PH063022023,2022-01-01,S,1641.31,1641.31,1641.31,93.75,93.75,93.75,0.0,1611.25,1641.31,0.0,92.03,93.75,1570.0,1641.31,1641.31,89.67,93.75,93.75
MBISO00008D,PH063022024,2022-01-01,S,3383.78,3383.78,3383.78,100.0,100.0,100.0,186.89,3383.78,3383.78,5.52,100.0,100.0,0.0,2827.04,3383.78,0.0,83.55,100.0
MBISO00008E,PH063022025,2022-01-01,S,1392.75,1392.75,1392.75,100.0,100.0,100.0,1392.75,1392.75,1392.75,100.0,100.0,100.0,1392.75,1392.75,1392.75,100.0,100.0,100.0
MBISO00008F,PH063022026,2022-01-01,S,2999.66,2999.66,2999.66,100.0,100.0,100.0,2788.91,2999.66,2999.66,92.97,100.0,100.0,0.0,0.0,2999.66,0.0,0.0,100.0
MBISO000090,PH063022028,2022-01-01,S,442.19,442.19,442.19,100.0,100.0,100.0,442.19,442.19,442.19,100.0,100.0,100.0,244.42,442.19,442.19,55.27,100.0,100.0
MBISO000091,PH063022029,2022-01-01,S,1865.68,1865.68,1865.68,91.56,91.56,91.56,0.0,1865.68,1865.68,0.0,91.56,91.56,1390.27,1865.68,1865.68,68.23,91.56,91.56
MBISO000092,PH063022030,2022-01-01,S,951.9,2533.01,2533.01,37.58,100.0,100.0,1558.41,2533.01,2533.01,61.52,100.0,100.0,965.55,2533.01,2533.01,38.12,100.0,100.0
MBISO000093,PH063022031,2022-01-01,S,3959.4,3959.4,3959.4,100.0,100.0,100.0,0.0,3959.4,3959.4,0.0,100.0,100.0,454.08,3959.4,3959.4,11.47,100.0,100.0
MBISO000094,PH063022032,2022-01-01,S,10157.33,10157.33,10157.33,100.0,100.0,100.0,0.0,10157.33,10157.33,0.0,100.0,100.0,1295.04,10157.33,10157.33,12.75,100.0,100.0
MBISO000095,PH063022033,2022-01-01,S,896.2,938.45,938.45,81.19,85.01,85.01,412.6,938.45,938.45,37.38,85.01,85.01,0.0,151.15,938.45,0.0,13.69,85.01
MBISO000096,PH063022034,2022-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBISO000097,PH063022035,2022-01-01,S,1555.21,1555.21,1555.21,100.0,100.0,100.0,1555.21,1555.21,1555.21,100.0,100.0,100.0,1555.21,1555.21,1555.21,100.0,100.0,100.0
MBISO000098,PH063022036,2022-01-01,S,1221.29,1221.29,1221.29,77.35,77.35,77.35,464.37,1221.29,1221.29,29.41,77.35,77.35,1221.29,1221.29,1221.29,77.35,77.35,77.35
MBISO000099,PH063022038,2022-01-01,S,4162.79,4162.79,4162.79,100.0,100.0,100.0,0.0,4162.79,4162.79,0.0,100.0,100.0,4162.79,4162.79,4162.79,100.0,100.0,100.0
MBISO00009A,PH063022040,2022-01-01,S,1832.88,1832.88,1832.88,90.89,90.89,90.89,325.91,1832.88,1832.88,16.16,90.89,90.89,1832.88,1832.88,1832.88,90.89,90.89,90.89
MBISO00009B,PH063022041,2022-01-01,S,6134.38,6134.38,6134.38,93.46,93.46,93.46,997.45,6134.38,6134.38,15.2,93.46,93.46,302.92,6134.38,6134.38,4.62,93.46,93.46
MBISO00009C,PH063022042,2022-01-01,S,822.1,822.1,822.1,100.0,100.0,100.0,822.1,822.1,822.1,100.0,100.0,100.0,822.1,822.1,822.1,100.0,100.0,100.0
MBISO00009D,PH063022043,2022-01-01,S,1003.79,1003.79,1003.79,100.0,100.0,100.0,1003.79,1003.79,1003.79,100.0,100.0,100.0,1003.79,1003.79,1003.79,100.0,100.0,100.0
MBISO00009E,PH063022044,2022-01-01,S,1294.1,1294.1,1294.1,68.04,68.04,68.04,637.38,1294.1,1294.1,33.51,68.04,68.04,0.0,1294.1,1294.1,0.0,68.04,68.04
MBISO00009F,PH063022045,2022-01-01,S,524.15,524.15,524.15,100.0,100.0,100.0,0.0,524.15,524.15,0.0,100.0,100.0,524.15,524.15,524.15,100.0,100.0,100.0
MBISO0000A0,PH063022046,2022-01-01,S,790.32,790.32,790.32,68.16,68.16,68.16,0.0,790.32,790.32,0.0,68.16,68.16,790.32,790.32,790.32,68.16,68.16,68.16
MBISO0000A1,PH063022047,2022-01-01,S,5700.22,5700.22,5700.22,100.0,100.0,100.0,0.0,5700.22,5700.22,0.0,100.0,100.0,736.41,5700.22,5700.22,12.92,100.0,100.0
MBISO0000A2,PH063022048,2022-01-01,S,4155.5,4155.5,4155.5,95.95,95.95,95.95,0.0,4155.5,4155.5,0.0,95.95,95.95,3924.52,4155.5,4155.5,90.61,95.95,95.95
MBISO0000A3,PH063022049,2022-01-01,S,2380.3,2425.87,2425.87,94.9,96.72,96.72,842.35,2425.87,2425.87,33.58,96.72,96.72,439.57,2425.87,2425.87,17.53,96.72,96.72
MBISO0000A4,PH063022050,2022-01-01,S,1988.26,1988.26,1988.26,100.0,100.0,100.0,0.0,1988.26,1988.26,0.0,100.0,100.0,1988.26,1988.26,1988.26,100.0,100.0,100.0
MBISO0000A5,PH063022051,2022-01-01,S,3613.23,3613.23,3613.23,98.13,98.13,98.13,0.0,3613.23,3613.23,0.0,98.13,98.13,3255.78,3613.23,3613.23,88.42,98.13,98.13
MBISO0000A6,PH063022052,2022-01-01,S,3645.77,3645.77,3645.77,100.0,100.0,100.0,3645.77,3645.77,3645.77,100.0,100.0,100.0,3645.77,3645.77,3645.77,100.0,100.0,100.0
MBISO0000A7,PH063022053,2022-01-01,S,255.84,255.84,255.84,100.0,100.0,100.0,255.84,255.84,255.84,100.0,100.0,100.0,255.84,255.84,255.84,100.0,100.0,100.0
MBISO0000A8,PH063022054,2022-01-01,S,973.14,973.14,973.14,100.0,100.0,100.0,973.14,973.14,973.14,100.0,100.0,100.0,475.7,973.14,973.14,48.88,100.0,100.0
MBISO0000A9,PH063022055,2022-01-01,S,2050.54,2050.54,2050.54,100.0,100.0,100.0,2050.54,2050.54,2050.54,100.0,100.0,100.0,451.64,2050.54,2050.54,22.03,100.0,100.0
MBISO0000AA,PH063022056,2022-01-01,S,568.47,568.47,568.47,100.0,100.0,100.0,0.0,568.47,568.47,0.0,100.0,100.0,568.47,568.47,568.47,100.0,100.0,100.0
MBISO0000AB,PH063022057,2022-01-01,S,529.02,529.02,529.02,100.0,100.0,100.0,529.02,529.02,529.02,100.0,100.0,100.0,0.0,529.02,529.02,0.0,100.0,100.0
MBISO0000AC,PH063022060,2022-01-01,S,3203.17,3205.01,3205.01,99.94,100.0,100.0,0.0,3205.01,3205.01,0.0,100.0,100.0,1973.46,3205.01,3205.01,61.57,100.0,100.0
MBISO0000AD,PH063022061,2022-01-01,S,1050.4,1050.4,1050.4,100.0,100.0,100.0,0.0,1050.4,1050.4,0.0,100.0,100.0,1050.4,1050.4,1050.4,100.0,100.0,100.0
MBISO0000AE,PH063022062,2022-01-01,S,555.55,555.55,555.55,88.87,88.87,88.87,555.55,555.55,555.55,88.87,88.87,88.87,0.0,555.55,555.55,0.0,88.87,88.87
MBISO0000AF,PH063022063,2022-01-01,S,2842.2,2842.2,2842.2,100.0,100.0,100.0,943.7,2842.2,2842.2,33.2,100.0,100.0,2842.2,2842.2,2842.2,100.0,100.0,100.0
MBISO0000B0,PH063022064,2022-01-01,S,3253.61,3253.61,3253.61,100.0,100.0,100.0,2864.9,3253.61,3253.61,88.05,100.0,100.0,2843.79,3253.61,3253.61,87.4,100.0,100.0
MBISO0000B1,PH063022065,2022-01-01,S,1885.41,1885.41,1885.41,100.0,100.0,100.0,1885.41,1885.41,1885.41,100.0,100.0,100.0,1885.41,1885.41,1885.41,100.0,100.0,100.0
MBISO0000B2,PH063022067,2022-01-01,S,2588.12,2629.87,2629.87,98.41,100.0,100.0,0.0,2629.87,2629.87,0.0,100.0,100.0,0.0,2629.87,2629.87,0.0,100.0,100.0
MBISO0000B3,PH063022068,2022-01-01,S,940.67,1295.97,1525.84,61.65,84.93,100.0,0.0,1167.72,1525.84,0.0,76.53,100.0,0.0,1107.72,1477.97,0.0,72.6,96.86
MBISO0000B4,PH063022069,2022-01-01,S,768.08,768.08,768.08,79.23,79.23,79.23,768.08,768.08,768.08,79.23,79.23,79.23,0.0,768.08,768.08,0.0,79.23,79.23
MBISO0000B5,PH063022070,2022-01-01,S,458.72,458.72,458.72,92.86,92.86,92.86,458.72,458.72,458.72,92.86,92.86,92.86,38.25,458.72,458.72,7.74,92.86,92.86
MBISO0000B6,PH063022071,2022-01-01,S,1205.79,1205.79,1205.79,62.97,62.97,62.97,1205.79,1205.79,1205.79,62.97,62.97,62.97,1205.79,1205.79,1205.79,62.97,62.97,62.97
MBISO0000B7,PH063022072,2022-01-01,S,4157.68,4157.68,4157.68,100.0,100.0,100.0,0.0,3652.67,4157.68,0.0,87.85,100.0,0.0,4157.68,4157.68,0.0,100.0,100.0
MBISO0000B8,PH063022073,2022-01-01,S,3038.71,3038.71,3038.71,100.0,100.0,100.0,917.42,3038.71,3038.71,30.19,100.0,100.0,3038.71,3038.71,3038.71,100.0,100.0,100.0
MBISO0000B9,PH063022074,2022-01-01,S,636.5,636.5,636.5,29.0,29.0,29.0,636.5,636.5,636.5,29.0,29.0,29.0,0.0,636.5,636.5,0.0,29.0,29.0
MBISO0000BA,PH063022075,2022-01-01,S,153.71,153.71,153.71,100.0,100.0,100.0,153.71,153.71,153.71,100.0,100.0,100.0,0.0,153.71,153.71,0.0,100.0,100.0
MBISO0000BB,PH063022076,2022-01-01,S,311.39,311.39,311.39,100.0,100.0,100.0,311.39,311.39,311.39,100.0,100.0,100.0,311.39,311.39,311.39,100.0,100.0,100.0
MBISO0000BC,PH063022077,2022-01-01,S,2756.83,2756.83,2756.83,83.46,83.46,83.46,2756.83,2756.83,2756.83,83.46,83.46,83.46,2756.83,2756.83,2756.83,83.46,83.46,83.46
MBISO0000BD,PH063022078,2022-01-01,S,157.99,157.99,157.99,40.34,40.34,40.34,69.23,157.99,157.99,17.68,40.34,40.34,157.99,157.99,157.99,40.34,40.34,40.34
MBISO0000BE,PH063022079,2022-01-01,S,1405.53,1405.53,1405.53,95.13,95.13,95.13,1405.53,1405.53,1405.53,95.13,95.13,95.13,1405.53,1405.53,1405.53,95.13,95.13,95.13
MBISO0000BF,PH063022080,2022-01-01,S,688.37,688.37,688.37,83.2,83.2,83.2,688.37,688.37,688.37,83.2,83.2,83.2,688.37,688.37,688.37,83.2,83.2,83.2
MBISO0000C0,PH063022081,2022-01-01,S,241.79,241.79,241.79,95.71,95.71,95.71,241.79,241.79,241.79,95.71,95.71,95.71,0.0,241.79,241.79,0.0,95.71,95.71
MBISO0000C1,PH063022084,2022-01-01,S,3379.26,3379.26,3379.26,100.0,100.0,100.0,3379.26,3379.26,3379.26,100.0,100.0,100.0,2527.06,3379.26,3379.26,74.78,100.0,100.0
MBISO0000C2,PH063022085,2022-01-01,S,170.8,170.8,170.8,100.0,100.0,100.0,170.8,170.8,170.8,100.0,100.0,100.0,170.8,170.8,170.8,100.0,100.0,100.0
MBISO0000C3,PH063022086,2022-01-01,S,3107.93,3833.01,3833.01,81.08,100.0,100.0,94.4,3833.01,3833.01,2.46,100.0,100.0,0.0,0.0,3833.01,0.0,0.0,100.0
MBISO0000C4,PH063022087,2022-01-01,S,3698.09,3698.09,3698.09,100.0,100.0,100.0,0.0,3698.09,3698.09,0.0,100.0,100.0,1199.0,3698.09,3698.09,32.42,100.0,100.0
MBISO0000C5,PH063022088,2022-01-01,S,717.78,717.78,717.78,100.0,100.0,100.0,717.78,717.78,717.78,100.0,100.0,100.0,717.78,717.78,717.78,100.0,100.0,100.0
MBISO0000C6,PH063022089,2022-01-01,S,1157.47,1157.47,1157.47,100.0,100.0,100.0,0.0,1157.47,1157.47,0.0,100.0,100.0,1157.47,1157.47,1157.47,100.0,100.0,100.0
MBISO0000C7,PH063022090,2022-01-01,S,401.39,401.39,401.39,63.51,63.51,63.51,401.39,401.39,401.39,63.51,63.51,63.51,0.0,401.39,401.39,0.0,63.51,63.51
MBISO0000C8,PH063022091,2022-01-01,S,520.35,520.35,520.35,100.0,100.0,100.0,202.9,520.35,520.35,38.99,100.0,100.0,520.35,520.35,520.35,100.0,100.0,100.0
MBISO0000C9,PH063022092,2022-01-01,S,371.75,371.75,371.75,36.64,36.64,36.64,0.0,371.75,371.75,0.0,36.64,36.64,371.75,371.75,371.75,36.64,36.64,36.64
MBISO0000CA,PH063022093,2022-01-01,S,170.97,170.97,170.97,48.79,48.79,48.79,0.0,170.97,170.97,0.0,48.79,48.79,46.95,170.97,170.97,13.4,48.79,48.79
MBISO0000CB,PH063022094,2022-01-01,S,6970.98,7856.98,7856.98,88.04,99.23,99.23,0.0,7856.98,7856.98,0.0,99.23,99.23,0.0,7856.98,7856.98,0.0,99.23,99.23
MBISO0000CC,PH063022095,2022-01-01,S,1821.31,1821.31,1821.31,67.83,67.83,67.83,0.0,1821.31,1821.31,0.0,67.83,67.83,1821.31,1821.31,1821.31,67.83,67.83,67.83
MBISO0000CD,PH063022096,2022-01-01,S,3443.93,3443.93,3443.93,100.0,100.0,100.0,0.0,3443.93,3443.93,0.0,100.0,100.0,3443.93,3443.93,3443.93,100.0,100.0,100.0
MBISO0000CE,PH063022097,2022-01-01,S,481.49,481.49,481.49,100.0,100.0,100.0,481.49,481.49,481.49,100.0,100.0,100.0,0.0,481.49,481.49,0.0,100.0,100.0
MBISO0000CF,PH063022098,2022-01-01,S,2983.81,2983.81,2983.81,95.79,95.79,95.79,0.0,2983.81,2983.81,0.0,95.79,95.79,0.0,2305.71,2983.81,0.0,74.02,95.79
